datetime,count
20-01-2011 00:00,18.427254
20-01-2011 01:00,12.80078
20-01-2011 02:00,8.636002
20-01-2011 03:00,1.8779309
20-01-2011 04:00,2.6769638
20-01-2011 05:00,8.3426285
20-01-2011 06:00,59.44154
20-01-2011 07:00,195.29356
20-01-2011 08:00,387.4355
20-01-2011 09:00,111.38093
20-01-2011 10:00,93.811966
20-01-2011 11:00,106.09488
20-01-2011 12:00,87.85933
20-01-2011 13:00,82.06892
20-01-2011 14:00,91.785225
20-01-2011 15:00,88.59039
20-01-2011 16:00,117.9689
20-01-2011 17:00,242.16685
20-01-2011 18:00,229.83125
20-01-2011 19:00,226.56517
20-01-2011 20:00,160.55377
20-01-2011 21:00,126.89293
20-01-2011 22:00,66.12377
20-01-2011 23:00,27.447632
21-01-2011 00:00,21.303919
21-01-2011 01:00,11.066744
21-01-2011 02:00,3.7379882
21-01-2011 03:00,0.98537374
21-01-2011 04:00,2.6304336
21-01-2011 05:00,6.481736
21-01-2011 06:00,64.452995
21-01-2011 07:00,167.26637
21-01-2011 08:00,357.9798
21-01-2011 09:00,133.31291
21-01-2011 10:00,91.54755
21-01-2011 11:00,107.67907
21-01-2011 12:00,134.92671
21-01-2011 13:00,163.51874
21-01-2011 14:00,148.98604
21-01-2011 15:00,155.35622
21-01-2011 16:00,189.32686
21-01-2011 17:00,307.34503
21-01-2011 18:00,254.36523
21-01-2011 19:00,142.2971
21-01-2011 20:00,136.05374
21-01-2011 21:00,139.99242
21-01-2011 22:00,77.982315
21-01-2011 23:00,46.14221
22-01-2011 00:00,46.84512
22-01-2011 01:00,56.963802
22-01-2011 02:00,43.289677
22-01-2011 03:00,37.833755
22-01-2011 04:00,8.686856
22-01-2011 06:00,-2.79686
22-01-2011 07:00,3.475742
22-01-2011 08:00,35.043118
22-01-2011 09:00,84.76603
22-01-2011 10:00,180.47853
22-01-2011 11:00,201.35146
22-01-2011 12:00,172.05014
22-01-2011 13:00,247.06111
22-01-2011 14:00,207.6874
22-01-2011 15:00,226.65321
22-01-2011 16:00,168.21828
22-01-2011 17:00,152.75243
22-01-2011 18:00,78.44258
22-01-2011 19:00,53.311806
22-01-2011 20:00,86.26593
22-01-2011 21:00,97.71352
22-01-2011 22:00,77.92744
22-01-2011 23:00,48.83885
23-01-2011 00:00,42.58253
23-01-2011 01:00,48.994366
23-01-2011 02:00,41.89108
23-01-2011 03:00,28.16853
23-01-2011 05:00,7.2973824
23-01-2011 06:00,5.4934845
23-01-2011 07:00,29.25167
23-01-2011 08:00,67.60097
23-01-2011 09:00,73.01254
23-01-2011 10:00,153.59654
23-01-2011 11:00,211.5298
23-01-2011 12:00,208.03725
23-01-2011 13:00,242.96237
23-01-2011 14:00,219.54889
23-01-2011 15:00,217.47966
23-01-2011 16:00,183.14787
23-01-2011 17:00,119.56221
23-01-2011 18:00,82.72919
23-01-2011 19:00,69.33281
23-01-2011 20:00,107.68773
23-01-2011 21:00,115.685
23-01-2011 22:00,78.43921
23-01-2011 23:00,78.6013
24-01-2011 00:00,10.234355
24-01-2011 01:00,2.883876
24-01-2011 03:00,-7.886015
24-01-2011 04:00,1.7285683
24-01-2011 05:00,7.260721
24-01-2011 06:00,81.66254
24-01-2011 07:00,160.62975
24-01-2011 08:00,304.2607
